product_id,title,category,description
101,Wireless Mouse,Electronics,Ergonomic wireless mouse with USB receiver
102,Mechanical Keyboard,Electronics,RGB backlit mechanical keyboard with blue switches
103,Noise Cancelling Headphones,Electronics,Over-ear headphones with active noise cancellation
104,Smart LED Bulb,Home,Wi-Fi controllable smart LED bulb
105,Electric Kettle,Home,1.7L electric kettle with auto shut-off
106,Running Shoes,Sports,Lightweight running shoes with breathable mesh
107,Yoga Mat,Sports,Non-slip yoga mat for all types of exercises
108,Cotton T-Shirt,Clothing,100% cotton casual t-shirt
109,Jeans Pants,Clothing,Slim-fit denim jeans for everyday wear
110,Backpack,Bags,Durable backpack with multiple compartments
